pacSelector,kind,owner,principalId,lastChange,category,displayName,id
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.9925601Z,,Enforce recommended guardrails for Automation Accounts,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Automation0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:34.4180054Z,,Enforce recommended guardrails for Bot Service,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-BotService0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.1124437Z,,Enforce recommended guardrails for Cognitive Services,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-CogServ0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:30.3838589Z,,Enforce recommended guardrails for Compute,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Compute0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.3522508Z,,Enforce recommended guardrails for Container Apps,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContApps0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.9960891Z,,Enforce recommended guardrails for Container Instance,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContInst0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.0648295Z,,Enforce recommended guardrails for Container Registry,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContReg0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.3131286Z,,Enforce recommended guardrails for Cosmos DB,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-CosmosDb0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.196029Z,,Enforce recommended guardrails for Data Explorer,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-DataExpl0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.4254423Z,,Enforce recommended guardrails for Data Factory,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-DataFactory0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.4810859Z,,Enforce recommended guardrails for Event Grid,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-EventGrid0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.2104067Z,,Enforce recommended guardrails for Event Hub,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-EventHub0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.772387Z,,Enforce recommended guardrails for Azure Key Vault,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-KeyVault
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.3742243Z,,Enforce recommended guardrails for Key Vault Supplementary,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-KeyVaultSup0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.1642363Z,,Enforce recommended guardrails for Kubernetes,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Kubernetes0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.2075709Z,,Enforce recommended guardrails for Machine Learning,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-MachLearn0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.4120823Z,,Enforce recommended guardrails for MySQL,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-MySQL0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.5288482Z,,Enforce recommended guardrails for Network and Networking services,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Network0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:35.2525798Z,,Enforce recommended guardrails for OpenAI,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-OpenAI0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:34.832502Z,,Enforce recommended guardrails for PostgreSQL,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-PostgreSQL0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.1523547Z,,Enforce recommended guardrails for Service Bus,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ServiceBus0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:35.1698505Z,,Enforce recommended guardrails for SQL,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-SQL0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.3448152Z,,Enforce recommended guardrails for Storage,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Storage0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.6535101Z,,Enforce recommended guardrails for Synapse,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Synapse0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.8865355Z,,Enforce recommended guardrails for Virtual Desktop,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-VirtualDesk0
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.0199373Z,,Subnets should be private,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-Subnet-Private
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.6760065Z,,Deny or Deploy and append TLS requirements and SSL enforcement on resources without Encryption in transit,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-TLS-SSL-Q225
quick-start,Assignment(Policy-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.6039521Z,,Do not allow deletion of the User Assigned Managed Identity used by AMA,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/DenyAction-DeleteUAMIAMA
